Baby Boy Names Registered in 2004,
3,Ishaan
4,Ishan
2,Ishraj
5,Isiah
1,Isioma
1,Isis
1,Islam
1,Ismaael
1,Israel
2,Israr
1,Isreal
2,Issa
7,Issac
1,Issal
1,Issam
16,Ivan
1,Izack
#,Baby Boy Names
1,Izahia
3,Izaiah
1,Izaiha
3,Izak
2,Izayah
1,Izehar
1,Jaager
1,Jabe
1,Jabez
1,Jabin
1,Jac
25,Jace
1,Jacen
1,Jacey
1,Jachin
100,Jack
1,Jackie
1,Jacksen
76,Jackson
5,Jacky
242,Jacob
1,Jacobb
1,Jacobus
1,Jacques
1,Jacub
2,Jad
1,Jadan
5,Jade
65,Jaden
1,Jadin
6,Jadon
1,Jady
1,Jae
6,Jaeden
2,Jaedon
2,Jaedyn
3,Jaeger
1,Jaesa
1,Jaffer
1,Jaffortson
1,Jag
1,Jagar
1,Jager
2,Jagger
1,Jagjeevan
3,Jagjot
1,Jagraj
1,Jahahzaib
1,Jahlil
#,Baby Boy Names
1,Jahmourri
3,Jai
1,Jaice
1,Jaid
1,Jaidan
10,Jaiden
1,Jaidon
1,Jaidyn
1,Jaime
1,Jaimyn
1,Jairon
2,Jairus
49,Jake
1,Jakin
27,Jakob
1,JakobRobertGerald
1,Jakson
4,Jakub
1,Jalal
1,Jalat
1,Jaleel
8,Jalen
1,Jaleo
1,Jamaal
1,Jamahl
7,Jamal
1,Jambu
138,James
,James1
1,Jameson
11,Jamie
1,Jamieson
1,Jamil
1,Jamin
2,Jan
1,Janav
1,Janmay
1,Japjot
1,Jaramie
45,Jared
2,Jaren
2,Jaret
1,Jareth
1,Jari
1,Jaris
1,Jarius
1,Jarnail
2,Jarod
3,Jarom
#,Baby Boy Names
1,Jarome
8,Jaron
1,Jarred
2,Jarren
3,Jarret
3,Jarrett
1,Jarrod
1,Jarryn
1,Jarvis
1,Jaryd
1,Jasce
2,Jasdeep
9,Jase
1,Jashan
1,Jashanbir
1,Jashandeep
1,Jashawa
2,Jaskaran
1,Jaskeerat
2,Jaskirat
1,Jaskiret
1,Jaslogan
1,Jasmit
62,Jason
6,Jasper
1,JasperAddison
1,Jaspreet
1,Jasraj
1,Jasroop
1,Jastein
1,Jastej
1,Java
3,Javier
1,Javin
1,Javon
1,Javonte
2,Jawad
6,Jax
2,Jaxen
1,Jaxin
34,Jaxon
12,Jaxson
1,JaxsonReyd
1,Jaxx
2,Jaxxon
6,Jay
1,Jayant
9,Jayce
1,Jaycey
#,Baby Boy Names
1,Jaydan
102,Jayden
1,Jaydien
2,Jaydin
1,Jayd'n
9,Jaydon
1,Jaydyn
1,Jayger
1,Jaykob
1,Jaylei
1,Jaylen
1,Jaylenn
1,Jaylon
1,Jayman
2,Jaymes
1,Jaynard
1,Jayrode
1,Jayse
1,Jaysen
4,Jayson
1,Jaytee
1,JayVen
1,Jayvyn
1,Jazz
1,JD
1,Jean
1,JeanChristophe
1,JeanDavid
1,JeanLaunce
4,JeanLuc
1,Jebrill
6,Jed
1,Jedd
1,Jedidiah
1,Jeesoo
3,Jeevan
2,Jeff
1,Jefferson
1,Jeffery
19,Jeffrey
1,Jeg
1,Jehan
1,Jelvin
2,Jens
3,Jenson
1,Jephthe
1,Jeramiah
1,Jered
1,Jerek
#,Baby Boy Names
1,Jerelus
1,Jeremey
1,Jérémi
11,Jeremiah
1,Jeremie
1,Jérémie
41,Jeremy
1,Jeric
5,Jericho
1,Jeris
1,Jermain
2,Jermaine
1,Jermiah
8,Jerome
2,Jerry
1,Jerson
1,Jesiah
1,Jesie
1,Jesmere
1,Jess
77,Jesse
1,JesseJames
1,JesseKaevon
1,Jessiah
6,Jessie
1,Jessin
3,Jet
1,Jether
1,Jethro
7,Jett
1,Jettrams
1,Jevin
1,Jevioni
1,Jevonte
1,Jeziah
1,Jhomhel
1,Jian
1,Jibran
1,Jibril
1,Jieou
3,Jihad
1,Jiles
4,Jim
1,Jimi
7,Jimmy
1,Jiro
1,Jisaiah
1,Jnivwa
3,Joah
